1,Central_Coast,20,Barren,1,BLM,42,Santa Barbara,4671900
1,Central_Coast,20,Barren,1,BLM,43,Santa Clara,1800
1,Central_Coast,20,Barren,1,BLM,50,Stanislaus,4500
1,Central_Coast,20,Barren,2,DoD,7,Contra Costa,20700
1,Central_Coast,20,Barren,2,DoD,27,Monterey,2644200
1,Central_Coast,20,Barren,2,DoD,35,San Benito,44100
1,Central_Coast,20,Barren,2,DoD,39,San Joaquin,55800
1,Central_Coast,20,Barren,2,DoD,40,San Luis Obispo,801000
1,Central_Coast,20,Barren,2,DoD,48,Solano,57600
1,Central_Coast,20,Barren,3,Easement,1,Alameda,70200
1,Central_Coast,20,Barren,3,Easement,10,Fresno,8100
1,Central_Coast,20,Barren,3,Easement,27,Monterey,1058400
1,Central_Coast,20,Barren,3,Easement,40,San Luis Obispo,1789200
1,Central_Coast,20,Barren,3,Easement,41,San Mateo,12600
1,Central_Coast,20,Barren,3,Easement,42,Santa Barbara,36900
1,Central_Coast,20,Barren,3,Easement,44,Santa Cruz,1015200
1,Central_Coast,20,Barren,3,Easement,48,Solano,25200
1,Central_Coast,20,Barren,3,Easement,50,Stanislaus,20700
1,Central_Coast,20,Barren,4,Local_gov,1,Alameda,1221300
1,Central_Coast,20,Barren,4,Local_gov,7,Contra Costa,357300
1,Central_Coast,20,Barren,4,Local_gov,27,Monterey,492300
1,Central_Coast,20,Barren,4,Local_gov,28,Napa,15300
1,Central_Coast,20,Barren,4,Local_gov,38,San Francisco,14400
1,Central_Coast,20,Barren,4,Local_gov,40,San Luis Obispo,151200
1,Central_Coast,20,Barren,4,Local_gov,41,San Mateo,216900
1,Central_Coast,20,Barren,4,Local_gov,42,Santa Barbara,2356200
1,Central_Coast,20,Barren,4,Local_gov,43,Santa Clara,211500
1,Central_Coast,20,Barren,4,Local_gov,44,Santa Cruz,169200
1,Central_Coast,20,Barren,4,Local_gov,48,Solano,81000
1,Central_Coast,20,Barren,5,NPS,27,Monterey,314100
1,Central_Coast,20,Barren,5,NPS,35,San Benito,583200
1,Central_Coast,20,Barren,5,NPS,38,San Francisco,286200
1,Central_Coast,20,Barren,5,NPS,41,San Mateo,22500
1,Central_Coast,20,Barren,6,Other_fed,1,Alameda,525600
1,Central_Coast,20,Barren,6,Other_fed,10,Fresno,36000
1,Central_Coast,20,Barren,6,Other_fed,15,Kern,5418900
1,Central_Coast,20,Barren,6,Other_fed,24,Merced,1568700
1,Central_Coast,20,Barren,6,Other_fed,27,Monterey,639900
1,Central_Coast,20,Barren,6,Other_fed,35,San Benito,179100
1,Central_Coast,20,Barren,6,Other_fed,40,San Luis Obispo,3020400
1,Central_Coast,20,Barren,6,Other_fed,41,San Mateo,63900
1,Central_Coast,20,Barren,6,Other_fed,42,Santa Barbara,794700
1,Central_Coast,20,Barren,6,Other_fed,43,Santa Clara,72900
1,Central_Coast,20,Barren,6,Other_fed,48,Solano,900
1,Central_Coast,20,Barren,7,Private,1,Alameda,1668600
1,Central_Coast,20,Barren,7,Private,7,Contra Costa,3916800
1,Central_Coast,20,Barren,7,Private,10,Fresno,40500900
1,Central_Coast,20,Barren,7,Private,15,Kern,110612700
1,Central_Coast,20,Barren,7,Private,16,Kings,27270000
1,Central_Coast,20,Barren,7,Private,24,Merced,1466100
1,Central_Coast,20,Barren,7,Private,27,Monterey,124957800
1,Central_Coast,20,Barren,7,Private,28,Napa,54000
