Landcat,Area_2010_m2,Area_2011_m2,Area_2012_m2,Area_2013_m2,Area_2014_m2,Area_2015_m2,Area_2016_m2,Area_2017_m2,Area_2018_m2,Area_2019_m2,Area_2020_m2,Area_2021_m2,Area_2022_m2,Area_2023_m2,Area_2024_m2,Area_2025_m2,Area_2026_m2,Area_2027_m2,Area_2028_m2,Area_2029_m2,Area_2030_m2,Area_2031_m2,Area_2032_m2,Area_2033_m2,Area_2034_m2,Area_2035_m2,Area_2036_m2,Area_2037_m2,Area_2038_m2,Area_2039_m2,Area_2040_m2,Area_2041_m2,Area_2042_m2,Area_2043_m2,Area_2044_m2,Area_2045_m2,Area_2046_m2,Area_2047_m2,Area_2048_m2,Area_2049_m2,Area_2050_m2,Area_2051_m2,Area_2052_m2,Area_2053_m2,Area_2054_m2,Area_2055_m2,Area_2056_m2,Area_2057_m2,Area_2058_m2,Area_2059_m2,Area_2060_m2,Area_2061_m2,Area_2062_m2,Area_2063_m2,Area_2064_m2,Area_2065_m2,Area_2066_m2,Area_2067_m2,Area_2068_m2,Area_2069_m2,Area_2070_m2,Area_2071_m2,Area_2072_m2,Area_2073_m2,Area_2074_m2,Area_2075_m2,Area_2076_m2,Area_2077_m2,Area_2078_m2,Area_2079_m2,Area_2080_m2,Area_2081_m2,Area_2082_m2,Area_2083_m2,Area_2084_m2,Area_2085_m2,Area_2086_m2,Area_2087_m2,Area_2088_m2,Area_2089_m2,Area_2090_m2,Area_2091_m2,Area_2092_m2,Area_2093_m2,Area_2094_m2,Area_2095_m2,Area_2096_m2,Area_2097_m2,Area_2098_m2,Area_2099_m2,Area_2100_m2
103002,0,0,0,-399.5424135,0,-1082.934824,0,0,-782.9416991,226.0037894,-100.8945489,0,0,956.4803232,-146.633411,0,0,-1333.153306,0,-1528.2161,-209.8606616,-528.687436,-5.381042606,0,-895.9435938,-91.4777243,-2366.313486,0,-1021.052834,-25.55995238,-59.19146866,0,-87.44194234,-277.1236942,-20.17890977,-843.4784284,0,808.5016515,0,4.035781954,-156.0502356,-722.4049698,-149.3239323,0,0,0,0,0,0,1603.550696,-4.035781954,-216.5869649,-4.035781954,0,0,0,0,0,0,0,0,-139.9071077,0,0,0,0,-622.8556816,0,-1275.307098,0,0,-856.9310349,0,0,0,0,633.6177668,-1037.195962,0,0,-573.0810375,0,0,-114.3471554,-789.6680024,-1291.450225,-540.7947819,-2558.685759,-1420.595248,-1377.546907,-516.5800901
103003,-65.18474782,123.3224959,-373.4909875,-528.5249824,-5.285249824,-803.3579732,-112.7519962,-1534.484199,-1876.263687,42.28199859,-1751.179442,121.5607459,-2242.707675,-183.2219939,-722.3174759,-3608.06388,-429.8669856,75.75524747,-1721.229693,-1629.618696,-2873.414154,1501.01095,-1388.258954,-181.4602439,-1876.263687,-2003.109683,-1504.53445,-2059.485681,202.6012432,-1929.116186,-1005.959216,-1756.464691,-2892.793403,-5873.674304,-2001.347933,310.0679896,-3923.417119,-4411.421853,-2869.890654,-49.32899835,-1449.920202,-702.9382265,-2455.879418,-147.9869951,-77.51699741,-1719.467943,-2854.034905,-377.0144874,-132.1312456,-956.6302181,-1578.527947,-2283.227924,-1208.56046,-3084.824147,-1851.599188,-1122.234713,-125.0842458,-213.1717429,-2385.40942,-942.5362185,-697.6529767,-4205.29711,22.90274924,678.2737274,-4709.157593,-958.391968,-2787.088407,-2330.795172,-598.99498,-2445.308918,1005.959216,1182.134211,-7927.874735,-961.9154679,-1855.122688,961.9154679,-995.3887168,-759.3142246,-2545.728665,-625.4212291,-1631.380446,-1169.801961,-1781.129191,-2697.23916,1035.908965,-1330.121206,-2797.658907,-2584.487164,-5156.642078,-47.56724841,-8.808749706
103004,-1275.526582,-739.0072897,-195.0979245,783.347727,-2922.034823,-4549.328875,-521.7391465,-1547.481265,-4335.016761,-458.1845196,-5297.204252,-5255.819844,-1287.350699,-4272.940149,-431.5802572,35.4723499,-3334.400891,-4017.243627,-987.313739,-3562.015136,-3393.521474,-2261.362306,-409.4100385,-1356.817384,-1955.413288,-1531.223104,-1822.391976,-1896.292705,-2834.831963,-1510.5309,-2132.775038,-2017.489901,-3853.184008,-475.9206945,-1099.642847,-529.1292194,-891.2427913,-1291.784742,-1512.008915,-2253.972233,-4487.252263,-1154.329386,-781.8697125,-1874.122487,-1871.166457,-3624.091749,-1608.079862,-2880.650415,-1024.264103,-3362.483168,-637.0242837,-978.4456515,-295.6029159,-2588.003528,-2104.692761,0,-3041.754004,-990.2697682,-3171.819287,-1297.696801,-4258.160003,-1053.824395,-1047.912337,-1894.814691,-468.5306216,-1822.391976,-653.2824441,-2831.875934,-2289.444583,-3943.342898,-1118.857037,-2760.931234,-2138.687096,-863.1605143,-2678.162418,-804.0399312,-2744.673074,-3666.954171,-1446.976273,-3729.030784,-5408.055346,-5783.471049,-1206.059897,-1077.472628,-1003.571899,-2687.030505,-5685.922087,-391.6738635,-836.5562519,-36.95036448,-382.805776
103005,0,0,0,0,0,-3048.566306,0,0,0,-7281.647127,-187.0286077,-1701.96033,0,0,0,-3048.566306,0,-2051.080398,0,0,-4762.99521,0,0,-6196.881203,0,-3728.103581,-5878.932569,0,0,-1714.428904,0,-1215.68595,-6383.90981,-3728.103581,0,0,0,0,0,0,0,-4426.343716,-4264.252256,0,-6122.069759,0,0,0,-6246.755498,0,0,-7238.007119,0,0,-6583.406992,0,0,0,-1926.39466,0,0,0,0,-5367.721042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103006,558.4737306,0,0,0,206.8421224,-17.23684354,0,-1303.105371,-899.7632326,0,0,-758.4211156,-44.8157932,0,-168.9210667,1227.26326,-1247.947472,0,-434.3684571,606.7368925,0,0,0,1241.052735,-13.78947483,0,-330.9473959,-10.34210612,1661.631717,0,-2847.526552,0,0,-13.78947483,31.02631837,-13.78947483,-241.3158095,-289.5789714,0,0,-220.6315973,0,0,0,-330.9473959,0,-6.894737415,0,-465.3947755,-234.4210721,0,434.3684571,-148.2368544,0,0,0,-165.473698,0,-3550.789769,0,0,-1254.842209,1254.842209,0,0,0,0,0,0,0,3530.105556,0,0,0,-1254.842209,-3530.105556,0,158.5789605,0,0,0,-482.631619,0,0,0,0,0,0,0,0,0
103007,77341.13223,56852.19266,66865.93114,8102.514201,1926.606367,-35371.1085,-88104.74744,-33652.16031,-46138.56924,-25249.69542,-86543.46563,-138654.1301,-32317.76428,-21138.83273,-80394.47645,-59828.62645,18339.29294,-98653.01343,-112146.949,-123114.3769,-138754.1136,-86058.9299,-90819.68575,-97091.73163,-186292.4527,-178509.1168,-85605.15834,-43846.63831,-187038.484,-144383.9574,-113546.7189,-196060.0778,-196206.2077,-107397.7298,-52652.88298,15808.93967,-159835.2635,-95749.64456,-118295.9382,-102921.5425,-167026.3891,-74368.54396,-126756.0859,-183408.3115,-76306.68689,-181285.5835,-133389.6109,-145387.6385,-150340.6705,-123783.4977,-117299.9481,-140580.7364,-112916.0534,-87804.79675,-56379.1935,-53106.65454,-89404.53377,-70561.47749,-166530.3168,-105563.4159,-116480.852,-123122.0679,-60224.71519,-92119.47208,-121649.2331,-153147.9013,-155251.4017,-100933.4078,-173090.7768,-184596.5777,-109482.0025,-174663.5952,-102586.9821,-186976.9556,-138338.7973,-167203.2831,-71680.5243,-167226.3562,-161204.2692,-124441.0819,-178716.775,-158250.9086,-74157.04027,-183512.1406,-68061.88839,-178909.0511,-205070.1352,-109585.8316,-84424.58318,-120118.7155,-77994.87092
103008,0,0,0,0,-195.8434862,0,61.20108945,-2190.999002,-222.7719656,910.672211,298.6613165,2519.036842,0,-235.0121835,-88.1295688,-1657.325502,1456.585929,-110.161961,-3307.306874,-1089.379392,-3696.545803,-176.2591376,-2455.387709,-1339.079837,2367.25814,399.0311032,-129.7463096,-1623.052892,-1246.054181,1001.249823,-1231.36592,0,-325.5897959,-2455.387709,-4075.992557,971.8733004,-727.0689426,-898.4319931,0,0,1933.954427,2115.109651,457.7841491,-1177.508961,2049.012475,132.1943532,-1853.168988,656.0756789,-3826.292112,0,-367.2065367,1605.916587,-12.24021789,0,-986.5615619,0,-768.6856835,-585.0824151,-389.2389289,-2.448043578,-156.674789,68.54522018,2.448043578,-14.68826147,-1121.203959,-88.1295688,0,-413.7193647,807.8543807,-1745.455071,-56.30500229,660.971766,-1982.915298,-80.78543807,-161.5708761,-146.8826147,-873.9515573,1319.495488,-964.5291697,276.6289243,-1035.522433,-4056.408209,-225.2200092,-1696.494199,-2621.854672,-66.0971766,0,-570.3941536,0,58.75304587,670.7639403
103009,222.4006227,0,0,0,21.92682195,0,0,0,0,0,65.78046586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.491167,0,0,488.6548893,0,0,0,0,0,579.4945802,0,350.8291513,0,0,0,0,-488.6548893,0,0,0,488.6548893,0,0,0,0,0,0,0,0,0,-488.6548893,0,0,0,0,0,-801.8952029,0,0,0,0,0,0,0,0,0,0,801.8952029,0,-313.2403136,-488.6548893,488.6548893,0,0,-579.4945802,579.4945802,0,0,0,0,0
104001,25960.27952,0,0,-11981.66747,0,-14877.23711,0,0,0,0,9884.875662,28057.07132,0,11981.66747,0,0,0,0,0,-36643.93301,76482.97734,-22365.77928,-19869.59855,6689.764337,-28656.1547,23264.40434,-69094.2824,7987.778313,61605.74024,0,-4093.736385,-60507.42072,0,0,-7987.778313,-57212.46216,36643.93301,-61505.89301,-19570.05687,-28855.84915,-15875.7094,87166.63084,-23164.55711,52220.10072,0,0,0,0,80177.32481,0,7688.236626,0,22265.93205,0,7987.778313,3894.041927,-77681.14409,0,70092.75469,-41236.90554,1198.166747,36044.84964,73487.56048,-32550.19662,0,-7388.694939,-52619.48963,-24762.11277,-15176.77879,0,0,-1198.166747,0,-698.9306024,1198.166747,-1397.861205,0,0,0,0,0,-47826.82265,-698.9306023,-1198.166747,0,1198.166747,-13379.52867,0,0,0,0
104002,0,0,0,-17163.33975,0,-46520.16329,0,0,-33633.21122,9708.555816,-4334.176704,0,0,41087.99515,-6299.003476,0,0,-57268.92151,0,-65648.3298,-9015.087543,-22711.08593,-231.1560909,0,-38487.48913,-3929.653545,-101650.891,0,-43861.86824,-1097.991432,-2542.716999,0,-3756.286476,-11904.53868,-866.8353407,-36233.71724,0,34731.20265,0,173.3670681,-6703.526635,-31032.7052,-6414.581521,0,0,0,0,0,0,68884.51508,-173.3670681,-9304.032657,-173.3670681,0,0,0,0,0,0,0,0,-6010.058362,0,0,0,0,-26756.31752,0,-54783.99353,0,0,-36811.60747,0,0,0,0,27218.6297,-44555.33651,0,0,-24618.12368,0,0,-4912.066931,-33922.15633,-55477.46181,-23231.18713,-109914.7212,-61025.20799,-59175.95926,-22190.98472
