Landcat,Area_2010_m2,Area_2011_m2,Area_2012_m2,Area_2013_m2,Area_2014_m2,Area_2015_m2,Area_2016_m2,Area_2017_m2,Area_2018_m2,Area_2019_m2,Area_2020_m2,Area_2021_m2,Area_2022_m2,Area_2023_m2,Area_2024_m2,Area_2025_m2,Area_2026_m2,Area_2027_m2,Area_2028_m2,Area_2029_m2,Area_2030_m2,Area_2031_m2,Area_2032_m2,Area_2033_m2,Area_2034_m2,Area_2035_m2,Area_2036_m2,Area_2037_m2,Area_2038_m2,Area_2039_m2,Area_2040_m2,Area_2041_m2,Area_2042_m2,Area_2043_m2,Area_2044_m2,Area_2045_m2,Area_2046_m2,Area_2047_m2,Area_2048_m2,Area_2049_m2,Area_2050_m2
103003,-65.18474782,123.3224959,-373.4909875,-528.5249824,-5.285249824,-803.3579732,-112.7519962,-1534.484199,-1876.263687,42.28199859,-1751.179442,121.5607459,-2242.707675,-183.2219939,-722.3174759,-3608.06388,-429.8669856,75.75524747,-1721.229693,-1629.618696,-2873.414154,1501.01095,-1388.258954,-181.4602439,-1876.263687,-2003.109683,-1504.53445,-2059.485681,202.6012432,-1929.116186,-1005.959216,-1756.464691,-2892.793403,-5873.674304,-2001.347933,310.0679896,-3923.417119,-4411.421853,-2869.890654,-49.32899835,-1449.920202
103004,-1275.526582,-739.0072897,-195.0979245,783.347727,-2922.034823,-4549.328875,-521.7391465,-1547.481265,-4335.016761,-458.1845196,-5297.204252,-5255.819844,-1287.350699,-4272.940149,-431.5802572,35.4723499,-3334.400891,-4017.243627,-987.313739,-3562.015136,-3393.521474,-2261.362306,-409.4100385,-1356.817384,-1955.413288,-1531.223104,-1822.391976,-1896.292705,-2834.831963,-1510.5309,-2132.775038,-2017.489901,-3853.184008,-475.9206945,-1099.642847,-529.1292194,-891.2427913,-1291.784742,-1512.008915,-2253.972233,-4487.252263
103005,0,0,0,0,0,-3048.566306,0,0,0,-7281.647127,-187.0286077,-1701.96033,0,0,0,-3048.566306,0,-2051.080398,0,0,-4762.99521,0,0,-6196.881203,0,-3728.103581,-5878.932569,0,0,-1714.428904,0,-1215.68595,-6383.90981,-3728.103581,0,0,0,0,0,0,0
103006,558.4737306,0,0,0,206.8421224,-17.23684354,0,-1303.105371,-899.7632326,0,0,-758.4211156,-44.8157932,0,-168.9210667,1227.26326,-1247.947472,0,-434.3684571,606.7368925,0,0,0,1241.052735,-13.78947483,0,-330.9473959,-10.34210612,1661.631717,0,-2847.526552,0,0,-13.78947483,31.02631837,-13.78947483,-241.3158095,-289.5789714,0,0,-220.6315973
103007,77341.13223,56852.19266,66865.93114,8102.514201,1926.606367,-35371.1085,-88104.74744,-33652.16031,-46138.56924,-25249.69542,-86543.46563,-138654.1301,-32317.76428,-21138.83273,-80394.47645,-59828.62645,18339.29294,-98653.01343,-112146.949,-123114.3769,-138754.1136,-86058.9299,-90819.68575,-97091.73163,-186292.4527,-178509.1168,-85605.15834,-43846.63831,-187038.484,-144383.9574,-113546.7189,-196060.0778,-196206.2077,-107397.7298,-52652.88298,15808.93967,-159835.2635,-95749.64456,-118295.9382,-102921.5425,-167026.3891
103008,0,0,0,0,-195.8434862,0,61.20108945,-2190.999002,-222.7719656,910.672211,298.6613165,2519.036842,0,-235.0121835,-88.1295688,-1657.325502,1456.585929,-110.161961,-3307.306874,-1089.379392,-3696.545803,-176.2591376,-2455.387709,-1339.079837,2367.25814,399.0311032,-129.7463096,-1623.052892,-1246.054181,1001.249823,-1231.36592,0,-325.5897959,-2455.387709,-4075.992557,971.8733004,-727.0689426,-898.4319931,0,0,1933.954427
103009,222.4006227,0,0,0,21.92682195,0,0,0,0,0,65.78046586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.491167,0,0,488.6548893,0,0,0,0,0,579.4945802,0
104001,25960.27952,0,0,-11981.66747,0,-14877.23711,0,0,0,0,9884.875662,28057.07132,0,11981.66747,0,0,0,0,0,-36643.93301,76482.97734,-22365.77928,-19869.59855,6689.764337,-28656.1547,23264.40434,-69094.2824,7987.778313,61605.74024,0,-4093.736385,-60507.42072,0,0,-7987.778313,-57212.46216,36643.93301,-61505.89301,-19570.05687,-28855.84915,-15875.7094
104002,0,0,0,-17163.33975,0,-46520.16329,0,0,-33633.21122,9708.555816,-4334.176704,0,0,41087.99515,-6299.003476,0,0,-57268.92151,0,-65648.3298,-9015.087543,-22711.08593,-231.1560909,0,-38487.48913,-3929.653545,-101650.891,0,-43861.86824,-1097.991432,-2542.716999,0,-3756.286476,-11904.53868,-866.8353407,-36233.71724,0,34731.20265,0,173.3670681,-6703.526635
104003,-2670.047956,5051.442078,-15298.65315,-21649.03748,-216.4903748,-32906.53697,-4618.461329,-62854.37214,-76854.08305,1731.922998,-71730.47751,4979.27862,-91864.08236,-7504.999659,-29587.01789,-147790.7625,-17607.88382,3103.028705,-70503.69872,-66751.19889,-117698.6004,61483.26644,-56864.80511,-7432.836201,-76854.08305,-82049.85204,-61627.59335,-84359.0827,8298.7977,-79018.98679,-41205.33467,-71946.96788,-118492.3985,-240592.9698,-81977.68858,12700.76865,-160708.0215,-180697.2995,-117554.2735,-2020.576831,-59390.52615
104004,-44782.17857,-25945.64228,-6849.649561,27502.38081,-102589.0696,-159721.3739,-18317.62345,-54330.17493,-152197.1376,-16086.29821,-185978.3638,-184525.4079,-45197.30885,-150017.7037,-15152.25509,1245.390829,-117066.738,-141040.5114,-34663.37808,-125057.9958,-119142.3893,-79393.66537,-14373.88582,-47636.19922,-68652.16947,-53759.3708,-63981.95386,-66576.51808,-99527.48378,-53032.89282,-74879.12361,-70831.60342,-135280.5788,-16708.99363,-38607.11571,-18577.07987,-31290.44459,-45352.9827,-53084.7841,-79134.20895,-157541.9399
104005,0,0,0,0,0,-61806.98851,0,0,0,-147628.9623,-3791.839786,-34505.74205,0,0,0,-61806.98851,0,-41583.84299,0,0,-96565.51989,0,0,-125636.2916,0,-75584.0064,-119190.1639,0,0,-34758.53137,0,-24646.95861,-129428.1314,-75584.0064,0,0,0,0,0,0,0
104006,1830.576816,0,0,0,677.9914135,-56.49928445,0,-4271.345905,-2949.262649,0,0,-2485.968516,-146.8981396,0,-553.6929877,4022.749053,-4090.548195,0,-1423.781968,1988.774813,0,0,0,4067.948481,-45.19942757,0,-1084.786262,-33.89957067,5446.531022,0,-9333.681792,0,0,-45.19942757,101.698712,-45.19942756,-790.9899824,-949.1879789,0,0,-723.190841
104007,2156716.074,1585366.47,1864607.155,225944.7478,53724.87833,-986350.1615,-2456867.64,-938415.9886,-1286608.963,-704106.8885,-2413330.113,-3866475.475,-901205.3443,-589472.3676,-2241860.891,-1668366.581,511405.0794,-2751014.029,-3127302.648,-3433137.684,-3869263.593,-2399818.467,-2532575.752,-2707476.503,-5194906.199,-4977861.98,-2387164.704,-1222696.732,-5215709.845,-4026256.052,-3166336.292,-5467283.826,-5471358.767,-2994867.07,-1468265.537,440844.2611,-4457127.431,-2670051.388,-3298771.871,-2870045.197,-4657657.416
104008,0,0,0,0,-6192.734452,0,1935.229516,-69281.21668,-7044.235439,28796.2152,9443.920039,79654.04688,0,-7431.281342,-2786.730503,-52406.0153,46058.46248,-3483.413129,-104579.8031,-34447.08539,-116887.8628,-5573.461006,-77641.40819,-42342.82181,74854.67768,12617.69645,-4102.686574,-51322.28677,-39401.27295,31660.35488,-38936.81786,0,-10295.42103,-77641.40819,-128886.2858,30731.44472,-22990.52665,-28409.1693,0,0,61153.25271
104009,1657.251914,0,0,0,163.3910338,0,0,0,0,0,490.1731014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730.964422,0,0,3641.285896,0,0,0,0,0,4318.191607,0
105001,68362.03065,0,0,-31551.70645,0,-39176.70218,0,0,0,0,26030.15782,73883.57928,0,31551.70645,0,0,0,0,0,-96495.63557,201405.0595,-58896.51871,-52323.24654,17616.36944,-75461.1646,61262.8967,-181948.1739,21034.47097,162228.3574,0,-10780.16637,-159336.1176,0,0,-21034.47097,-150659.3983,96495.63557,-161965.4265,-51534.45388,-75987.02638,-41806.01105
105002,0,0,0,-44117.55682,0,-119577.8897,0,0,-86452.5861,24955.38568,-11140.79718,0,0,105614.7572,-16191.2919,0,0,-147207.0667,0,-168745.9413,-23172.85813,-58377.77721,-594.1758495,0,-98930.27894,-10100.98944,-261288.8298,0,-112744.8674,-2822.335285,-6535.934344,0,-9655.357554,-30600.05625,-2228.159436,-93137.0644,0,89274.92138,0,445.6318871,-17231.09963
105003,-5177.494999,9795.26081,-29665.64702,-41979.68918,-419.7968919,-63809.12756,-8955.667026,-121881.0309,-149027.8966,3358.375135,-139092.7035,9655.328512,-178133.8144,-14552.95892,-57372.24189,-286581.3448,-34143.48054,6017.088783,-136713.8544,-129437.375,-228229.5769,119222.3173,-110266.6503,-14413.02662,-149027.8966,-159103.022,-119502.1819,-163580.8555,16092.21419,-153225.8655,-79901.34175,-139512.5004,-229768.8321,-466534.2791,-158963.0897,24628.08432,-311629.226,-350390.4724,-227949.7123,-3918.104324,-115164.2807
105004,-98324.15316,-56966.48503,-15039.15205,60384.47413,-225245.4818,-350685.6818,-40218.33843,-119287.8197,-334165.4012,-35319.22072,-408335.7647,-405145.6415,-99235.61692,-329380.2164,-33268.42726,2734.391281,-257032.7805,-309669.8126,-76107.224,-274578.4578,-261590.0993,-174317.4442,-31559.43271,-104590.4665,-150733.3194,-118034.557,-140479.3521,-146176.0006,-218523.4366,-116439.4954,-164405.2758,-155518.5041,-297023.253,-36686.41636,-84766.12973,-40788.00328,-68701.58095,-99577.41583,-116553.4284,-173747.7793,-345900.4971
105005,0,0,0,0,0,-208970.9219,0,0,0,-499137.0895,-12820.30196,-116664.7478,0,0,0,-208970.9219,0,-140595.9781,0,0,-326490.3565,0,0,-424779.3381,0,-255551.3523,-402984.8248,0,0,-117519.4346,0,-83331.96271,-437599.6401,-255551.3523,0,0,0,0,0,0,0
