"reg_code","Region","lt_code","Land_Type","own_code","Ownership","cnty_code","County","area_ac"
"1","Central_Coast","20","Barren","1","BLM","15","Kern",8650.93705820646
"1","Central_Coast","20","Barren","1","BLM","16","Kings",143.444674735679
"1","Central_Coast","20","Barren","1","BLM","24","Merced",26.4649865016214
"1","Central_Coast","20","Barren","1","BLM","27","Monterey",262.870706259802
"1","Central_Coast","20","Barren","1","BLM","35","San Benito",3699.98302880231
"1","Central_Coast","20","Barren","1","BLM","40","San Luis Obispo",35611.1968786439
"1","Central_Coast","20","Barren","1","BLM","42","Santa Barbara",1154.45163806652
"1","Central_Coast","20","Barren","1","BLM","43","Santa Clara",0.44478968910288
"1","Central_Coast","20","Barren","1","BLM","50","Stanislaus",1.1119742227572
"1","Central_Coast","20","Barren","2","DoD","7","Contra Costa",5.11508142468312
"1","Central_Coast","20","Barren","2","DoD","27","Monterey",653.396053292131
"1","Central_Coast","20","Barren","2","DoD","35","San Benito",10.8973473830206
"1","Central_Coast","20","Barren","2","DoD","39","San Joaquin",13.7884803621893
"1","Central_Coast","20","Barren","2","DoD","40","San Luis Obispo",197.931411650782
"1","Central_Coast","20","Barren","2","DoD","48","Solano",14.2332700512922
"1","Central_Coast","20","Barren","3","Easement","1","Alameda",17.3467978750123
"1","Central_Coast","20","Barren","3","Easement","10","Fresno",2.00155360096296
"1","Central_Coast","20","Barren","3","Easement","27","Monterey",261.536337192493
"1","Central_Coast","20","Barren","3","Easement","40","San Luis Obispo",442.120950968263
"1","Central_Coast","20","Barren","3","Easement","41","San Mateo",3.11352782372016
"1","Central_Coast","20","Barren","3","Easement","42","Santa Barbara",9.11818862660904
"1","Central_Coast","20","Barren","3","Easement","44","Santa Cruz",250.861384654024
"1","Central_Coast","20","Barren","3","Easement","48","Solano",6.22705564744032
"1","Central_Coast","20","Barren","3","Easement","50","Stanislaus",5.11508142468312
"1","Central_Coast","20","Barren","4","Local_gov","1","Alameda",301.789804056304
"1","Central_Coast","20","Barren","4","Local_gov","7","Contra Costa",88.2907532869217
"1","Central_Coast","20","Barren","4","Local_gov","27","Monterey",121.649979969638
"1","Central_Coast","20","Barren","4","Local_gov","28","Napa",3.78071235737448
"1","Central_Coast","20","Barren","4","Local_gov","38","San Francisco",3.55831751282304
"1","Central_Coast","20","Barren","4","Local_gov","40","San Luis Obispo",37.3623338846419
"1","Central_Coast","20","Barren","4","Local_gov","41","San Mateo",53.597157536897
"1","Central_Coast","20","Barren","4","Local_gov","42","Santa Barbara",582.22970303567
"1","Central_Coast","20","Barren","4","Local_gov","43","Santa Clara",52.2627884695884
"1","Central_Coast","20","Barren","4","Local_gov","44","Santa Cruz",41.8102307756707
"1","Central_Coast","20","Barren","4","Local_gov","48","Solano",20.0155360096296
"1","Central_Coast","20","Barren","5","NPS","27","Monterey",77.6158007484526
"1","Central_Coast","20","Barren","5","NPS","35","San Benito",144.111859269333
"1","Central_Coast","20","Barren","5","NPS","38","San Francisco",70.7215605673579
"1","Central_Coast","20","Barren","5","NPS","41","San Mateo",5.559871113786
"1","Central_Coast","20","Barren","6","Other_fed","1","Alameda",129.878589218041
"1","Central_Coast","20","Barren","6","Other_fed","10","Fresno",8.8957937820576
"1","Central_Coast","20","Barren","6","Other_fed","15","Kern",1339.03935904422
"1","Central_Coast","20","Barren","6","Other_fed","24","Merced",387.63421405316
"1","Central_Coast","20","Barren","6","Other_fed","27","Monterey",158.122734476074
"1","Central_Coast","20","Barren","6","Other_fed","35","San Benito",44.2565740657366
"1","Central_Coast","20","Barren","6","Other_fed","40","San Luis Obispo",746.357098314633
"1","Central_Coast","20","Barren","6","Other_fed","41","San Mateo",15.7900339631522
"1","Central_Coast","20","Barren","6","Other_fed","42","Santa Barbara",196.374647738922
"1","Central_Coast","20","Barren","6","Other_fed","43","Santa Clara",18.0139824086666
"1","Central_Coast","20","Barren","6","Other_fed","48","Solano",0.22239484455144
"1","Central_Coast","20","Barren","7","Private","1","Alameda",412.32004179837
"1","Central_Coast","20","Barren","7","Private","7","Contra Costa",967.862363487867
"1","Central_Coast","20","Barren","7","Private","10","Fresno",10007.9903996594
"1","Central_Coast","20","Barren","7","Private","15","Kern",27332.9935799056
"1","Central_Coast","20","Barren","7","Private","16","Kings",6738.56378990863
"1","Central_Coast","20","Barren","7","Private","24","Merced",362.281201774296
"1","Central_Coast","20","Barren","7","Private","27","Monterey",30877.745007211
"1","Central_Coast","20","Barren","7","Private","28","Napa",13.3436906730864
"1","Central_Coast","20","Barren","7","Private","35","San Benito",6039.79918832801
"1","Central_Coast","20","Barren","7","Private","38","San Francisco",46.2581276666995
"1","Central_Coast","20","Barren","7","Private","39","San Joaquin",7.11663502564608
"1","Central_Coast","20","Barren","7","Private","40","San Luis Obispo",54770.5127367504
"1","Central_Coast","20","Barren","7","Private","41","San Mateo",323.584498822345
"1","Central_Coast","20","Barren","7","Private","42","Santa Barbara",6309.78652961346
"1","Central_Coast","20","Barren","7","Private","43","Santa Clara",1463.58047199303
"1","Central_Coast","20","Barren","7","Private","44","Santa Cruz",1059.48903944306
"1","Central_Coast","20","Barren","7","Private","48","Solano",918.93549768655
"1","Central_Coast","20","Barren","7","Private","50","Stanislaus",32.6920421490617
"1","Central_Coast","20","Barren","7","Private","56","Ventura",0.44478968910288
"1","Central_Coast","20","Barren","8","State_gov","1","Alameda",34.2488060609218
"1","Central_Coast","20","Barren","8","State_gov","10","Fresno",181.251798309424
"1","Central_Coast","20","Barren","8","State_gov","15","Kern",71.6111399455637
"1","Central_Coast","20","Barren","8","State_gov","24","Merced",19.5707463205267
"1","Central_Coast","20","Barren","8","State_gov","27","Monterey",86.956384219613
"1","Central_Coast","20","Barren","8","State_gov","28","Napa",2.00155360096296
"1","Central_Coast","20","Barren","8","State_gov","35","San Benito",13.7884803621893
"1","Central_Coast","20","Barren","8","State_gov","39","San Joaquin",11.3421370721234
